Journal,Pub. Year,Pub. Date,Reviewer,Reviewer Gender,Book,Author,Author Gender,Press,Link
Drunken Boat,12,05.21.2012,Eric Rawson,Male,lucky coat anywhere,Michael Burkard,Male,Nightboat Books,http://drunkenboat.com/db15/lucky-coat-anywhere
Drunken Boat,12,05.21.2012,Eric Rawson,Male,We Are Pharaoh,Robert Fernandez,Male,Canarium Books,http://drunkenboat.com/db15/we-are-pharaoh
Drunken Boat,12,05.21.2012,J K Andrews,Female,Either Way I'm Celebrating,Sommer Browning,Female,Birds LLC,http://drunkenboat.com/db15/either-way-im-celebrating
Drunken Boat,13,07.16.2013,Kristina Marie Darling,Female,How Like Foreign Objects,Alexis Orgera,Female,H_NGM_N Books,http://www.drunkenboat.com/db17/how-foreign-objects
Drunken Boat,13,07.16.2013,Erin Lyndal Martin,Female,IOVIS: Colors in the Mechanism of Concealment,Anne Waldman,Female,Coffee House Press,http://www.drunkenboat.com/db17/iovis-colors-mechanism-concealment
Drunken Boat,13,07.16.2013,Kirsten Jorgenson,Female,Schizophrene,Bhanu Kapil,Female,Nightboat Books,http://www.drunkenboat.com/db17/schizophrene
Drunken Boat,13,07.16.2013,Ian Chung,Male,A Beautiful Marsupial Afternoon,CAConrad,Male,Wave Books,http://www.drunkenboat.com/db17/beautiful-marsupial-afternoon
Drunken Boat,13,07.16.2013,Michael McLane,Male,The Crushing Organ,Dan Rosenberg,Male,Dream Horse Press,http://www.drunkenboat.com/db17/crushing-organ
Drunken Boat,13,07.16.2013,Karin Gottshall,Female,Lovely Asunder,Danielle Cadena Deulen,Female,The University of Arkansas Press,http://www.drunkenboat.com/db17/lovely-asunder
Drunken Boat,13,07.16.2013,Alexis Orgera,Female,Madame X,Darcie Dennigan,Female,Canarium Books,http://www.drunkenboat.com/db17/madame-x
Drunken Boat,13,07.16.2013,Erin Lyndal Martin,Female,Thunderbird,Dorothea Lasky,Female,Wave Books,http://www.drunkenboat.com/db17/thunderbird-4
Drunken Boat,13,07.16.2013,Jennifer K Dick,Female,Body Sweats:  The uncensored Writings of Elsa Von Freytag-Loringhoven,Elsa Von Freytag-Loringhoven,Female,MIT Press,http://www.drunkenboat.com/db17/body-sweats-uncensored-writings-elsa-von-freytag-loringhoven
